date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:30	274/274	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20Sep%202021%2013:09:30%20GMT	https://jthemes.net/robots.txt		(from )
18:39:32	91157/91157	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2013:09:30%20GMT	https://jthemes.net/themes/wp/bolby/bolby9/	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/index.html	(from )
18:39:32	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2024%20Sep%202021%2013:09:32%20GMT	https://jthemes.net/themes/wp/bolby/bolby9/xmlrpc.php	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/xmlrpc.php	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:33	58171/58171	---M-Z	200	added ('OK')	text/css	etag:%22e33b-5c11887ae030d-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/wp-includes/css/dist/block-library/style.min.css?ver=5.7.3	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/wp-includes/css/dist/block-library/style.min76f3.css	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:33	8807/8807	---M-Z	200	added ('OK')	application/rss+xml	etag:%220d152b2a8098e1c6aea96e5c58fbee86-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/feed/	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/feed/index.html	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:34	2714/2714	---M-Z	200	added ('OK')	text/css	etag:%22a9a-5c11887ae030d-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/wp-includes/css/dist/block-library/theme.min.css?ver=5.7.3	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/wp-includes/css/dist/block-library/theme.min76f3.css	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:34	5305/5305	---M-Z	200	added ('OK')	text/css	etag:%2214b9-5ccb89a4985d6-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=5.7.2	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style9f31.css	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:35	193072/193072	---M-Z	200	added ('OK')	text/css	etag:%222f230-5ccb89a497636-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=5.7.2	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style9f31.css	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:35	2640/2640	---M-Z	200	added ('OK')	text/css	etag:%22a50-5c719bd6f963c-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://jthemes.net/themes/wp/bolby/bolby9/)
18:39:35	825/825	---M-Z	200	added ('OK')	application/rss+xml	etag:%226bd1bba7026fee7993a7cf0ab21c661d-gzip%22	https://jthemes.net/themes/wp/bolby/bolby9/comments/feed/	C:/My%20Web%20Sites/bolby%20light/jthemes.net/themes/wp/bolby/bolby9/comments/feed/index.html	(from https://jthemes.net/themes/wp/bolby/bolby9/)
